generated by /home/ivandevert/get_station_catalog.ipynb
index|station_name|slat|slon|sele|sdep|source
91|BC.CBX|32.3131|-116.6636|1250.0|0.0|scedc
92|BC.CCX|31.867887|-116.66446|36.6|0.0|scedc
93|BC.CHX|31.4721|-115.0521|40.0|0.0|scedc
94|BC.CORX|32.4154|-117.2482|74.2|0.0|scedc
95|BC.CPX|32.4195|-115.305|192.0|0.0|scedc
96|BC.DOCTX|31.9595|-114.7452|0.0|0.0|scedc
97|BC.GUVIX|32.3029|-115.076|10.0|0.0|scedc
98|BC.JARAX|32.5378|-115.5815|0.0|0.0|scedc
99|BC.OJONX|31.8573|-116.099|894.0|0.0|scedc
100|BC.PBX|31.7415|-116.7251|345.0|0.0|scedc
101|BC.PESCX|32.4338|-114.9649|0.0|0.0|scedc
102|BC.PIX|31.5629|-113.4599|77.8|0.0|scedc
103|BC.RHX|32.135|-115.2843|16.0|0.0|scedc
104|BC.RITX|32.166|-114.96158|9.0|0.0|scedc
105|BC.RMX|32.5535|-116.0288|1278.0|0.0|scedc
106|BC.SFX|31.0376|-114.851|39.0|0.0|scedc
107|BC.SJX|32.0048|-115.948|1616.0|0.0|scedc
108|BC.SLRCX|32.4579|-114.7049|47.0|0.0|scedc
109|BC.SLRX|32.45885|-114.706|49.0|0.0|scedc
110|BC.SPX|31.0451|-115.466|2835.0|0.0|scedc
111|BC.SQX|30.57618|-115.875796|101.0|0.0|scedc
112|BC.SV2X|31.3398|-116.2384|135.0|0.0|scedc
113|BC.TJX|32.51017|-117.0543|210.0|0.0|scedc
114|BC.TKX|32.5687|-116.6075|541.0|0.0|scedc
115|BC.TL2X|32.4481|-115.109|15.0|0.0|scedc
116|BC.TLX|32.448|-115.0587|15.0|0.0|scedc
117|BC.UABX|32.6316|-115.4447|44.3|0.0|scedc
118|BC.VTX|31.3914|-115.784|746.0|0.0|scedc
119|BC.YUC2X|32.6054|-115.094|22.0|0.0|scedc
120|BC.YUCAX|32.6054|-115.0094|0.0|0.0|scedc
121|BG.ACR|38.836697|-122.760284|803.0|0.0|ncedc
122|BG.AL1|38.838223|-122.883453|704.0|0.0|ncedc
123|BG.AL2|38.816006|-122.897995|657.0|0.0|ncedc
124|BG.AL3|38.827545|-122.856873|781.0|0.0|ncedc
125|BG.AL4|38.838589|-122.835487|661.0|0.0|ncedc
126|BG.AL5|38.839996|-122.868622|593.0|0.0|ncedc
127|BG.AL6|38.79995|-122.861343|749.0|0.0|ncedc
128|BG.BRP|38.854858|-122.797142|905.0|0.0|ncedc
129|BG.BUC|38.823116|-122.83503|888.0|0.0|ncedc
130|BG.CLV|38.838409|-122.790344|989.0|0.0|ncedc
131|BG.DEB|38.763947|-122.680702|383.0|150.0|ncedc
132|BG.DES|38.768177|-122.69928|650.0|0.0|ncedc
133|BG.DRH|38.823601|-122.952698|311.0|0.0|ncedc
134|BG.DRK|38.788326|-122.80307|757.0|0.0|ncedc
135|BG.DVB|38.764099|-122.681038|682.0|0.0|ncedc
136|BG.DXR|38.82304|-122.772026|1021.0|0.0|ncedc
137|BG.EPR|38.747108|-122.693359|890.0|0.0|ncedc
138|BG.ESM|38.775879|-122.702583|454.0|0.0|ncedc
139|BG.FFA|38.79221|-122.716461|789.0|0.0|ncedc
140|BG.FNF|38.770721|-122.765747|870.0|0.0|ncedc
141|BG.FUM|38.793179|-122.787918|673.0|0.0|ncedc
142|BG.HBW|38.858528|-122.875687|985.0|0.0|ncedc
143|BG.HER|38.844761|-122.913803|668.0|0.0|ncedc
144|BG.HVC|38.842602|-122.776398|779.0|0.0|ncedc
145|BG.JKB|38.800629|-122.75972|993.0|37.0|ncedc
146|BG.JKR|38.800625|-122.759712|1067.0|0.0|ncedc
147|BG.LCK|38.819542|-122.741737|1166.0|0.0|ncedc
148|BG.MCL|38.85466|-122.823349|961.0|0.0|ncedc
149|BG.MNS|38.79221|-122.716461|789.0|0.0|ncedc
150|BG.NEG|38.830471|-122.769913|922.0|0.0|ncedc
151|BG.PFR|38.752724|-122.74453|1020.0|0.0|ncedc
152|BG.PSB|38.750591|-122.691147|553.0|144.0|ncedc
153|BG.PSR|38.750683|-122.691063|855.0|0.0|ncedc
154|BG.RGP|38.87833|-122.811272|799.0|0.0|ncedc
155|BG.RTB|38.7789|-122.687798|138.0|138.0|ncedc
156|BG.SB4|38.808868|-122.829178|327.0|0.0|ncedc
157|BG.SQK|38.823395|-122.810074|639.0|0.0|ncedc
158|BG.SRB|38.740726|-122.711555|773.0|139.0|ncedc
159|BG.SSB|38.761593|-122.724861|820.0|0.0|ncedc
160|BG.SSR|38.740189|-122.71122|1076.0|0.0|ncedc
161|BG.STY|38.813259|-122.780685|1112.0|0.0|ncedc
162|BG.TCH|38.783237|-122.736725|951.0|0.0|ncedc
163|BG.U14|38.785072|-122.772339|662.0|0.0|ncedc
164|BG.US1|38.793339|-122.83503|761.0|0.0|ncedc
165|BG.US3|38.80489|-122.839844|502.0|0.0|ncedc
166|BG.WRK|38.763157|-122.7239|1008.0|0.0|ncedc
167|BK.AASB|38.43026|-121.10975|65.8|1.2|ncedc
168|BK.ADAM|38.75142|-122.33414|625.9|1.4|ncedc
169|BK.ALVW|37.04906|-120.47143|39.1|2.7|ncedc
170|BK.AONC|39.93981|-122.0608|66.9|3.1|ncedc
171|BK.ARC|40.87772|-124.077377|30.1|0.0|ncedc
172|BK.ATP|38.34791|-122.42708|470.9|1.2|ncedc
173|BK.AUSC|38.560515|-123.008941|479.2|3.0|ncedc
174|BK.AVSP|35.96302|-120.13313|300.0|1.3|ncedc
175|BK.AZUL|36.81113|-120.98439|1101.0|1.3|ncedc
176|BK.BABI|36.51579|-120.85301|571.2|2.8|ncedc
177|BK.BAKR|40.280351|-122.492261|190.1|1.1|ncedc
178|BK.BARR|39.30477|-123.19748|261.3|3.4|ncedc
179|BK.BAYL|39.60519|-122.05753|35.1|2.3|ncedc
180|BK.BBEB|37.821594|-122.32975|-213.7|182.9|ncedc
181|BK.BCCR|39.81856|-121.73417|517.5|1.3|ncedc
182|BK.BDM|37.953972|-121.86554|219.8|34.7|ncedc
183|BK.BEVN|39.33287|-122.90317|854.6|1.4|ncedc
184|BK.BIGM|40.88648|-123.36207|1068.5|1.0|ncedc
185|BK.BIGV|41.09439|-121.22769|1484.4|2.9|ncedc
186|BK.BJES|40.54362|-123.87996|1047.4|3.3|ncedc
187|BK.BKS|37.876221|-122.23558|243.9|25.6|ncedc
188|BK.BL67|37.87492|-122.243179|736.2|0.0|ncedc
189|BK.BL88|37.877151|-122.254288|602.2|0.0|ncedc
190|BK.BLAS|40.3227|-123.53248|1678.0|1.3|ncedc
191|BK.BLCR|41.39385|-123.76358|1474.0|1.3|ncedc
192|BK.BLUE|38.34234|-120.36462|1840.5|1.2|ncedc
